,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
236,0.431,0.894,0.45454545454545453,0.9836331618383344,0,0.33,0.0951,0.0,0.188,0.605,0.8514508639976615,258760,Best I Ever Had,1.0,Thank me Later
222,0.56,0.758,0.0,0.8524567521839715,1,0.345,0.428,0.0,0.162,0.521,0.5829726316420639,313267,Fireworks,1.0,Thank me Later
223,0.756,0.658,0.0,0.8299437174130728,1,0.11,0.00901,0.0188,0.0805,0.954,0.8097256418616329,227973,Karaoke,1.0,Thank me Later
224,0.439,0.738,0.0,0.7954490521736128,1,0.186,0.83,0.0,0.116,0.63,0.5490760415378446,225360,The Resistance,1.0,Thank me Later
225,0.325,0.848,0.6363636363636364,0.8821863885915542,1,0.279,0.0109,0.0,0.124,0.433,0.6188479281669609,233560,Over,1.0,Thank me Later
226,0.665,0.734,0.5454545454545454,0.8664756051241326,0,0.117,0.0385,0.0,0.116,0.706,0.7245962951720313,210360,Show Me A Good Time,1.0,Thank me Later
227,0.606,0.809,0.6363636363636364,0.9147819481371501,1,0.279,0.00778,1.59e-05,0.336,0.272,0.8296251325695826,234333,Up All Night,1.0,Thank me Later
235,0.499,0.771,0.7272727272727273,0.9084631055557475,1,0.42,0.279,0.0,0.119,0.748,0.5293901611821271,328573,Thank Me Now,1.0,Thank me Later
229,0.582,0.437,0.8181818181818182,0.754739131936052,0,0.07,0.412,0.0,0.0978,0.401,0.6932405439943637,419307,Shut It Down,1.0,Thank me Later
230,0.562,0.872,0.36363636363636365,0.8995545733918028,0,0.118,0.0951,0.0,0.107,0.0722,0.8287631960605754,213813,Unforgettable,1.0,Thank me Later
231,0.482,0.907,0.7272727272727273,0.8689271779289389,1,0.419,0.0945,0.0,0.151,0.212,0.5664871590197907,274147,Light Up,1.0,Thank me Later
232,0.429,0.864,0.18181818181818182,0.869617761817617,1,0.604,0.081,0.0,0.331,0.332,0.6216173676459015,305520,Miss Me,1.0,Thank me Later
233,0.382,0.6,0.8181818181818182,0.838334311660509,0,0.0338,0.0544,5.26e-06,0.115,0.226,0.6002338471224437,154120,Cece's Interlude,1.0,Thank me Later
234,0.625,0.613,0.5454545454545454,0.8685818859846001,0,0.173,0.0209,0.0,0.0286,0.738,0.6036328750079636,208947,Find Your Love,1.0,Thank me Later
228,0.523,0.884,0.18181818181818182,0.8832222644245711,0,0.461,0.331,2e-06,0.356,0.283,0.5708118317649836,319387,Fancy,1.0,Thank me Later
204,0.566,0.465,0.18181818181818182,0.6714547149614999,1,0.235,0.0555,0.0,0.567,0.177,0.7797002709478678,224720,Shot For Me,0.8562710437710438,Take Care
205,0.636,0.566,0.5454545454545454,0.8287006664134526,0,0.106,0.365,0.000353,0.0917,0.425,0.8129747677455863,235987,Headlines,0.8562710437710438,Take Care
206,0.418,0.546,0.0,0.763198784572356,0,0.238,0.227,0.0,0.229,0.294,0.8439220359689852,208813,Crew Love,0.8562710437710438,Take Care
207,0.629,0.515,0.0,0.71827630261386,0,0.265,0.0267,1.22e-05,0.0888,0.299,0.7003646366188104,277387,Take Care,0.8562710437710438,Take Care
208,0.492,0.26,0.8181818181818182,0.4771589378819792,0,0.0921,0.646,0.00178,0.0705,0.312,0.6616674349144247,347227,Marvins Room,0.8562710437710438,Take Care
209,0.711,0.543,0.0,0.6376851628051518,1,0.112,0.412,0.0,0.505,0.801,0.6260319815920341,150960,Buried Alive Interlude,0.8562710437710438,Take Care
210,0.487,0.712,0.7272727272727273,0.8230724077207279,1,0.27,5.2e-05,0.0,0.198,0.397,0.8291454461645699,212613,Under Ground Kings,0.8562710437710438,Take Care
211,0.386,0.488,0.09090909090909091,0.8237629916094058,0,0.422,0.00171,0.0,0.64,0.217,0.9685093370209225,247947,We'll Be Fine,0.8562710437710438,Take Care
203,0.489,0.57,0.09090909090909091,0.7205897586409309,1,0.306,0.759,2.1e-06,0.179,0.584,0.9389748951622876,272573,Over My Dead Body,0.8562710437710438,Take Care
213,0.417,0.887,0.45454545454545453,0.8842581402575879,0,0.367,0.0786,0.0,0.834,0.303,0.8717550901098406,307640,Lord Knows,0.8562710437710438,Take Care
220,0.556,0.702,0.0,0.7279099478609165,0,0.205,0.517,0.0,0.343,0.793,0.8281673356043486,351000,The Ride,0.8562710437710438,Take Care
219,0.446,0.239,0.09090909090909091,0.5467007354718415,1,0.0876,0.574,7.76e-05,0.12,0.31,0.6360192024464006,237733,Practice,0.8562710437710438,Take Care
218,0.444,0.627,0.6363636363636364,0.7740064224301647,0,0.252,0.123,0.0,0.0795,0.359,0.6117912914432189,206627,HYFR (Hell Ya Fucking Right),0.8562710437710438,Take Care
221,0.766,0.442,0.09090909090909091,0.780428852594869,1,0.356,0.000107,6.12e-05,0.111,0.39,1.0,181573,The Motto,0.8562710437710438,Take Care
216,0.567,0.309,0.7272727272727273,0.5837505610994096,1,0.385,0.166,0.0,0.12,0.509,0.48748880419425794,321080,The Real Her,0.8562710437710438,Take Care
