,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
190,0.546,0.809,0.36363636363636365,0.9285088999124599,1,0.041,0.00487,0.000372,0.0437,0.649,0.7512795005983017,266480,The Story Of Us,1.0,Speak Now
175,0.696,0.768,0.6363636363636364,0.9108549751969653,1,0.0308,0.00461,1.21e-06,0.101,0.692,0.6833037786716261,230547,Mine - POP Mix,1.0,Speak Now
176,0.608,0.785,0.45454545454545453,0.9755617157864022,1,0.0311,0.0387,0.0,0.158,0.376,0.6614441416893733,260947,Sparks Fly,1.0,Speak Now
177,0.517,0.606,0.18181818181818182,0.7697694776772687,1,0.0289,0.0202,0.0,0.324,0.296,0.7585564349869528,293040,Back To December,1.0,Speak Now
178,0.708,0.601,0.6363636363636364,0.9190983367376714,1,0.0306,0.101,0.0,0.0979,0.742,0.6757781526173897,240773,Speak Now,1.0,Speak Now
179,0.583,0.468,0.36363636363636365,0.8003355704697986,1,0.0278,0.183,1.65e-06,0.111,0.126,0.6772666983838646,403933,Dear John,1.0,Speak Now
180,0.57,0.747,0.36363636363636365,0.9024657134519989,1,0.0426,0.445,0.0,0.219,0.808,0.838119746839093,237747,Mean,1.0,Speak Now
181,0.575,0.855,0.8181818181818182,0.8405310767435075,1,0.0467,0.000315,0.00161,0.0419,0.84,0.7513155428686764,265680,The Story Of Us,1.0,Speak Now
189,0.525,0.676,0.18181818181818182,0.8509629413481178,1,0.0294,0.113,0.0,0.294,0.281,0.7586321237547395,293040,Back To December,1.0,Speak Now
183,0.535,0.618,0.7272727272727273,0.9072074700904581,1,0.0273,0.0716,0.000388,0.169,0.228,0.5424686071825037,352200,Enchanted,1.0,Speak Now
188,0.412,0.682,0.6363636363636364,0.8775897286256201,1,0.0339,0.0426,7.47e-05,0.106,0.146,0.9821266381211885,317960,Long Live,1.0,Speak Now
187,0.359,0.329,0.9090909090909091,0.4973737963233148,1,0.0293,0.581,3.75e-05,0.0979,0.208,0.5510574802127935,367147,Last Kiss,1.0,Speak Now
182,0.715,0.308,0.18181818181818182,0.5485847680186752,1,0.0305,0.829,0.0,0.16,0.547,0.6971764485388463,290480,Never Grow Up,1.0,Speak Now
185,0.553,0.604,0.09090909090909091,0.8063904289466005,0,0.0258,0.202,0.0,0.125,0.186,0.7299388723094447,302267,Innocent,1.0,Speak Now
